goodbye,bye
goodbye,i have to leave now
goodbye,i am leaving
goodbye,i'm leaving now
goodbye,bye for now!
goodbye,see you!
goodbye,I'm off
goodbye,Cheerio
goodbye,Cheers
goodbye,See you later
goodbye,It was nice seeing you
goodbye,It was nice meeting you
goodbye,Good to meet you
goodbye,Thanks for today
goodbye,Thanks for everything
goodbye,Catch you later
goodbye,good night!
goodbye,Take care.
goodbye,Hope you have a good day.
goodbye,Until next time
goodbye,Farewell
goodbye,So long
goodbye,thanks for the information
goodbye,good talking to you
goodbye,goodbye now
greeting,yo
greeting,sup
greeting,hi there
greeting,what is up?
greeting,greetings!
greeting,how are you doing?
greeting,nice to see you again!
greeting,how’s it going?
greeting,excuse me
greeting,uhm can you hear me?
greeting,hello how are you?
greeting,hey
greeting,hello sir
greeting,hi
greeting,good to see you
greeting,hey there!
greeting,Morning!
greeting,How are things?
greeting,what's new?
greeting,it's good to see you
greeting,Howdy!
greeting,good morning
greeting,good morning to you!
greeting,How are you today?
greeting,Nice to see you
bathroom,Hello where can I find the bathroom?
bathroom,Where is the bathroom?
bathroom,Hi I need to go to the bathroom.
bathroom,Is there a bathroom here?
bathroom,Do you know where the bathroom is?
bathroom,Hello where can I find the restroom?
bathroom,Where is the restroom?
bathroom,Hi I need to go to the restroom.
bathroom,Is there a bathroom here?
bathroom,Do you know where the restroom is?
bathroom,Where can I find the toilet?
bathroom,Hello where is the toilet?
bathroom,I need to go to the toilet.
bathroom,Excuse me is there a toilet here?
bathroom,Hi do you know where the toilet is?
bathroom,Hello where can I take a piss?
bathroom,Hi I really need to pee where can I do that?
bathroom,Is there somewhere I can go for a pee?
bathroom,Where can I take a shit?
bathroom,I really need to poop where can I do that?
bathroom,I can't find any bathroom around here.
bathroom,Could you show me the way to the bathroom?
bathroom,Do you know the way to the nearest toilet?
bathroom,Maybe you know if there is a restroom around here?
bathroom,Hello there can you point me in the direction of the restroom?
tour,Can you show me around?
tour,Where is everything?
tour,Hi I would like you to take us on a tour?
tour,Could I get a tour of this place?
tour,Can you help me look around?
tour,tour please
tour,What is the structure of this station?
tour,Hello I’m a bit lost.
tour,Hey could you show us around?
tour,Do you offer any tours of this place?
tour,I can’t find anything around here.
tour,Could you perhaps tell me more about this place?
tour,Is it possible to get a tour of the station?
tour,Please show me around this place.
tour,Excuse me but I want to know more about this station.
tour,Can you show us around please?
tour,Tell us more about the station.
tour,Show me around this station please.
tour,Hi are there any tours on offer for this place?
tour,Sorry but I can’t find any directions to this place.
tour,Where do the trains depart from?
tour,Are there any restaurants around here?
tour,Do you have any directions for this place?
tour,give me a tour?
tour,Sorry what is this place exactly?
question,What is the time?
question,do you know the time?
question,will you give me the time?
question,will you please give me the time?
question,time?
question,whats the time?
question,gimme time
question,please give me time
question,Whats the time?
question,Whats the current time?
question,Can you be so kind to give me the time?
question,Will you be so kind to give me the time?
question,do you know the time
question,Im in a hurry please tell me the time
question,tell me the time
question,I have a meeting what is the time?
question,what time is it?
question,do you know the hour
question,do you know the current time
question,Tell me the current time
question,please give me the time
question,what is the clock?
question,What the current time?
question,what is your time?
question,what is the time now?
addme,can you please add me to the database?
addme,I want to be recognized
addme,recognize me
addme,will you add me to the database?
addme,please remember me
addme,I want you to remember me?
addme,please include me in the database
addme,can you please include me in the database?
addme,please can you include me in the database?
addme,please can you remember me?
addme,Will you please add me to the database?
addme,add me
addme,Could you include me in the database?
addme,adding me to the database could be great
addme,please include me in the database
addme,please could you add me to the database?
addme,Would you remember me?
addme,would you please add me to the database?
addme,If I wanted to be added to the database how could I do that?
addme,Will you please include me in the database?
addme,Could you remember me?
addme,can you add me to the database?
addme,insert me
addme,Could you recognize me?
addme,could you add me?
